Group,Variable name,Range,Type,Min,Max,Form,Short descriptor,AllowableCodes
MRIValue,LPOSCEN,3.940~14.750,continuous (float),3.9396,14.75,imaging,Left postcentral gray matter volume (cc),
MRIValue,LPOSCENM,0.592~3.060,continuous (float),0.5921,3.06,imaging,Left postcentral mean cortical thickness (mm),
MRIValue,LPOSCIN,2.031~7.196,continuous (float),2.031,7.196,imaging,Left posterior cingulate gray matter volume (cc),
MRIValue,LPOSCINM,0.502~3.519,continuous (float),0.5024,3.5195,imaging,Left posterior cingulate mean cortical thickness (mm),
MRIValue,LPRECEN,3.804~20.370,continuous (float),3.804,20.37,imaging,Left precentral gray matter volume (cc),
MRIValue,LPRECENM,0.440~3.692,continuous (float),0.4398,3.692,imaging,Left precentral mean cortical thickness (mm),
MRIValue,LPRECUN,3.597~14.914,continuous (float),3.5969,14.914,imaging,Left precuneus gray matter volume (cc),
MRIValue,LPRECUNM,0.608~4.379,continuous (float),0.6084,4.3791,imaging,Left precuneus mean cortical thickness (mm),
MRIValue,LROSANC,1.286~7.180,continuous (float),1.2855,7.18,imaging,Left rostral anterior cingulate gray matter volume (cc),
MRIValue,LROSANCM,0.725~4.866,continuous (float),0.7245,4.8662,imaging,Left rostral anterior cingulate mean cortical thickness (mm),
MRIValue,LROSMF,4.775~17.916,continuous (float),4.775,17.9156,imaging,Left rostral middle frontal gray matter volume (cc),
MRIValue,LROSMFM,0.610~4.258,continuous (float),0.61,4.2578,imaging,Left rostral middle frontal mean cortical thickness (mm),
MRIValue,LSUPFR,9.659~35.940,continuous (float),9.6585,35.94,imaging,Left superior frontal gray matter volume (cc),
MRIValue,LSUPFRM,0.651~3.881,continuous (float),0.6506,3.8806,imaging,Left superior frontal mean cortical thickness (mm),
MRIValue,LSUPPAR,4.113~19.700,continuous (float),4.1127,19.7,imaging,Left superior parietal gray matter volume (cc),
MRIValue,LSUPPARM,0.584~3.063,continuous (float),0.5842,3.0628,imaging,Left superior parietal mean cortical thickness (mm),
MRIValue,LSUPTEM,6.831~23.700,continuous (float),6.8312,23.7,imaging,Left superior temporal gray matter volume (cc),
MRIValue,LSUPTEMM,0.649~3.301,continuous (float),0.6494,3.3013,imaging,Left superior temporal mean cortical thickness (mm),
MRIValue,LSUPMAR,3.926~17.072,continuous (float),3.9259,17.072,imaging,Left supramarginal gray matter volume (cc),
MRIValue,LSUPMARM,0.732~3.682,continuous (float),0.7324,3.6822,imaging,Left supramarginal mean cortical thickness (mm),
MRIValue,LTRTEM,0.183~2.030,continuous (float),0.183,2.03,imaging,Left transverse temporal gray matter volume (cc),
MRIValue,LTRTEMM,0.375~2.640,continuous (float),0.3746,2.64,imaging,Left transverse temporal mean cortical thickness (mm),
MRIValue,RCAC,0.562~4.334,continuous (float),0.5625,4.334,imaging,Right caudal anterior cingulate gray matter volume (cc),
MRIValue,RCACM,0.580~4.380,continuous (float),0.58,4.38,imaging,Right caudal anterior cingulate mean cortical thickness (mm),
MRIValue,RCMF,2.154~12.460,continuous (float),2.154,12.46,imaging,Right caudal middle frontal gray matter volume (cc),
MRIValue,RCMFM,0.456~4.854,continuous (float),0.4557,4.8542,imaging,Right caudal middle frontal mean cortical thickness (mm),
MRIValue,RCUN,1.473~7.640,continuous (float),1.4727,7.64,imaging,Right cuneus gray matter volume (cc),
MRIValue,RCUNM,0.499~2.643,continuous (float),0.4991,2.6427,imaging,Right cuneus mean cortical thickness (mm),
MRIValue,RENT,1.354~6.462,continuous (float),1.3542,6.4622,imaging,Right entorhinal gray matter volume (cc),
MRIValue,RENTM,0.429~6.410,continuous (float),0.4288,6.4097,imaging,Right entorhinal mean cortical thickness (mm),
MRIValue,RFUS,3.676~13.310,continuous (float),3.6756,13.31,imaging,Right fusiform gray matter volume (cc),
MRIValue,RFUSM,0.980~6.784,continuous (float),0.98,6.784,imaging,Right fusiform mean cortical thickness (mm),
MRIValue,RINFPAR,3.836~20.393,continuous (float),3.8356,20.393,imaging,Right inferior parietal gray matter volume (cc),
MRIValue,RINFPARM,0.590~4.397,continuous (float),0.5904,4.3966,imaging,Right inferior parietal mean cortical thickness (mm),
MRIValue,RINFTEMP,5.440~18.120,continuous (float),5.44,18.12,imaging,Right inferior temporal gray matter volume (cc),
MRIValue,RINFTEMM,0.970~5.170,continuous (float),0.97,5.17,imaging,Right inferior temporal mean cortical thickness (mm),
MRIValue,RINSULA,2.564~10.400,continuous (float),2.564,10.4,imaging,Right insula gray matter volume (cc),
MRIValue,RINSULAM,1.240~5.410,continuous (float),1.24,5.41,imaging,Right insula mean cortical thickness (mm),
MRIValue,RISTHC,0.944~5.030,continuous (float),0.9438,5.03,imaging,Right isthmus cingulate gray matter volume (cc),
MRIValue,RISTHCM,0.699~3.800,continuous (float),0.6992,3.8,imaging,Right isthmus cingulate mean cortical thickness (mm),
MRIValue,RLATOCC,4.126~19.361,continuous (float),4.1259,19.361,imaging,Right lateral occipital gray matter volume (cc),
MRIValue,RLATOCCM,0.677~4.316,continuous (float),0.6773,4.3162,imaging,Right lateral occipital mean cortical thickness (mm),
MRIValue,RLATORBF,2.366~12.940,continuous (float),2.3657,12.94,imaging,Right lateral orbitofrontal gray matter volume (cc),
MRIValue,RLATORBM,1.000~4.971,continuous (float),1.0,4.971,imaging,Right lateral orbitofrontal mean cortical thickness (mm),
MRIValue,RLING,3.674~13.810,continuous (float),3.6735,13.81,imaging,Right lingual gray matter volume (cc),
MRIValue,RLINGM,0.606~4.788,continuous (float),0.6064,4.7877,imaging,Right lingual mean cortical thickness (mm),
MRIValue,RMEDORBF,1.988~8.250,continuous (float),1.9881,8.25,imaging,Right medial orbitofrontal gray matter volume (cc),
MRIValue,RMEDORBM,0.676~4.960,continuous (float),0.6756,4.96,imaging,Right medial orbitofrontal mean cortical thickness (mm),
MRIValue,RMIDTEMP,4.897~19.280,continuous (float),4.8969,19.28,imaging,Right middle temporal gray matter volume (cc),
MRIValue,RMIDTEMM,0.860~4.665,continuous (float),0.86,4.6651,imaging,Right middle temporal mean cortical thickness (mm),
MRIValue,RPARCEN,1.410~7.630,continuous (float),1.41,7.63,imaging,Right paracentral gray matter volume (cc),
MRIValue,RPARCENM,0.379~3.543,continuous (float),0.3789,3.5426,imaging,Right paracentral mean cortical thickness (mm),
MRIValue,RPARHIP,1.259~6.170,continuous (float),1.2593,6.17,imaging,Right parahippocampal gray matter volume (cc),
MRIValue,RPARHIPM,0.805~3.760,continuous (float),0.805,3.7595,imaging,Right parahippocampal mean cortical thickness (mm),
MRIValue,RPARSOP,2.000~10.273,continuous (float),1.9999,10.273,imaging,Right pars opercularis gray matter volume (cc),
MRIValue,RPARSOPM,0.561~4.427,continuous (float),0.5607,4.4268,imaging,Right pars opercularis mean cortical thickness (mm),
MRIValue,RPARORB,0.737~4.030,continuous (float),0.7365,4.03,imaging,Right pars orbitalis gray matter volume (cc),
MRIValue,RPARORBM,0.732~8.197,continuous (float),0.7323,8.1965,imaging,Right pars orbitalis mean cortical thickness (mm),
MRIValue,RPARTRI,1.754~8.653,continuous (float),1.7538,8.6527,imaging,Right pars triangularis gray matter volume (cc),
MRIValue,RPARTRIM,0.710~8.249,continuous (float),0.7099,8.2488,imaging,Right pars triangularis mean cortical thickness (mm),
MRIValue,RPERCAL,0.687~5.018,continuous (float),0.687,5.018,imaging,Right pericalcarine gray matter volume (cc),
MRIValue,RPERCALM,0.315~4.331,continuous (float),0.3154,4.3308,imaging,Right pericalcarine mean cortical thickness (mm),
MRIValue,RPOSCEN,4.560~15.620,continuous (float),4.56,15.62,imaging,Right postcentral gray matter volume (cc),
MRIValue,RPOSCENM,0.591~3.037,continuous (float),0.5908,3.0367,imaging,Right postcentral mean cortical thickness (mm),
MRIValue,RPOSCIN,2.040~6.887,continuous (float),2.04,6.8866,imaging,Right posterior cingulate gray matter volume (cc),
MRIValue,RPOSCINM,0.536~4.330,continuous (float),0.5364,4.33,imaging,Right posterior cingulate mean cortical thickness (mm),
MRIValue,RPRECEN,5.162~18.910,continuous (float),5.162,18.91,imaging,Right precentral gray matter volume (cc),
MRIValue,RPRECENM,0.525~3.500,continuous (float),0.5254,3.5,imaging,Right precentral mean cortical thickness (mm),
MRIValue,RPRECUN,3.122~16.010,continuous (float),3.1222,16.01,imaging,Right precuneus gray matter volume (cc),
MRIValue,RPRECUNM,0.569~3.348,continuous (float),0.569,3.3479,imaging,Right precuneus mean cortical thickness (mm),
MRIValue,RROSANC,0.960~4.971,continuous (float),0.96,4.9714,imaging,Right rostral anterior cingulate gray matter volume (cc),
MRIValue,RROSANCM,0.697~4.991,continuous (float),0.6966,4.9912,imaging,Right rostral anterior cingulate mean cortical thickness (mm),
MRIValue,RROSMF,5.100~19.844,continuous (float),5.0997,19.844,imaging,Right rostral middle frontal gray matter volume (cc),
MRIValue,RROSMFM,0.650~4.686,continuous (float),0.65,4.6861,imaging,Right rostral middle frontal mean cortical thickness (mm),
MRIValue,RSUPFR,12.063~41.050,continuous (float),12.0635,41.05,imaging,Right superior frontal gray matter volume (cc),
MRIValue,RSUPFRM,0.845~4.060,continuous (float),0.8452,4.06,imaging,Right superior frontal mean cortical thickness (mm),
MRIValue,RSUPPAR,4.890~17.318,continuous (float),4.89,17.318,imaging,Right superior parietal gray matter volume (cc),
MRIValue,RSUPPARM,0.458~3.200,continuous (float),0.4575,3.1996,imaging,Right superior parietal mean cortical thickness (mm),
MRIValue,RSUPTEM,7.119~21.550,continuous (float),7.1194,21.55,imaging,Right superior temporal gray matter volume (cc),
MRIValue,RSUPTEMM,0.770~3.955,continuous (float),0.77,3.9546,imaging,Right superior temporal mean cortical thickness (mm),
MRIValue,RSUPMAR,3.122~15.340,continuous (float),3.1219,15.34,imaging,Right supramarginal gray matter volume (cc),
MRIValue,RSUPMARM,0.719~3.220,continuous (float),0.7192,3.22,imaging,Right supramarginal mean cortical thickness (mm),
MRIValue,RTRTEM,0.272~2.070,continuous (float),0.2715,2.07,imaging,Right transverse temporal gray matter volume (cc),
MRIValue,RTRTEMM,0.381~3.069,continuous (float),0.381,3.0689,imaging,Right transverse temporal mean cortical thickness (mm),
Psychia,DELSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Delusions severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no delusions reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,HALLSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Hallucinations severity," 1 = Mild (noticeable, but not a significant 
	change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no hallucinations reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,AGITSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Agitation or aggression severity," 1 = Mild (noticeable, but not a significant 
	change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no agitation or aggression reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,DEPDSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Depression or dysphoria severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no depression or dysphoria reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,ANXSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Anxiety severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no anxiety reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,ELATSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Elation or euphoria severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no elation or euphoria reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,APASEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Apathy or indifference severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no apathy or indifference reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,DISNSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Disinhibition severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no disinhibition reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,IRRSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Irritability or lability severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no irritability or lability reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,MOTSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Motor disturbance severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no motor disturbance reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,NITESEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Nighttime behaviors severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no nighttime behaviors reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,APPSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Appetite and eating severity," 1 = Mild (noticeable, but not a significant 
	change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no appetite or eating problems reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,NACCGDS,0~14,continuous (int),0.0,14.0,b6,Total GDS Score," 0 - 15
88 = Could not be calculated
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,ANIMALS,0~45,continuous (int),0.0,45.0,c1c2c2t,"Animals - Total number of animals named 
in 60 seconds"," 0-77	 
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,TRAILA,10~150,continuous (int),10.0,150.0,c1c2,"Trail Making Test Part A - Total number 
of seconds to complete"," 0 - 150	 
995 = Physical problem
996 = Cognitive/behavior problem
997 = Other problem
998 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,TRAILB,19~300,continuous (int),19.0,300.0,c1c2,"Trail Making Test Part B - Total 
number of seconds to complete"," 0-300	 
995 = Physical problem
996 = Cognitive/behavior problem
997 = Other problem
998 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,NACCMMSE,0~30,continuous (int),0.0,30.0,c1,Total MMSE score (using D-L-R-O-W)," 0 - 30
88 = Score not calculated; missing at least one MMSE item
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
Psycho,LOGIMEM,0~25,continuous (int),0.0,25.0,c1,Total number of story units recalled from this current test administration," 0 - 25
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
Psycho,MEMUNITS,0~25,continuous (int),0.0,25.0,c1,Logical Memory IIA - Delayed - Total number of story units recalled," 0 - 25
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
Psycho,DIGIF,0~12,continuous (int),0.0,12.0,c1,Digit span forward trials correct," 0 - 12
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
Psycho,DIGIFLEN,0~8,continuous (int),0.0,8.0,c1,Digit span forward length," 0-8
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
Psycho,DIGIB,0~12,continuous (int),0.0,12.0,c1,Digit span backward trials correct," 0 - 12
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
Psycho,DIGIBLEN,0~7,continuous (int),0.0,7.0,c1,Digit span backward length," 0-8
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
Psycho,BOSTON,0~30,continuous (int),0.0,30.0,c1,Boston Naming Test (30) - Total score," 0 - 30
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
Demo,SEX,"[1, 2]",category (int),1.0,2.0,a1,Subject's sex," 1 = Male
2 = Female"
Demo,HISPANIC,"[0, 1]",category (int),0.0,1.0,a1,Hispanic/Latino ethnicity," 0 = No
1 = Yes
9 = Unknown"
Demo,RACE,"[1, 2, 3, 4, 5]",category (int),1.0,5.0,a1,Race," 1 = White 
2 = Black or African American
3 = American Indian or Alaska Native
4 = Native Hawaiian or Other Pacific Islander
5 = Asian 
50 = Other (specify)
99 = Unknown"
Demo,PRIMLANG,"[1, 2, 3, 5, 6, 8, 9]",category (int),1.0,9.0,a1,Primary language," 1 = English 
2 = Spanish 
3 = Mandarin 
4 = Cantonese 
5 = Russian 
6 = Japanese 
8 = Other primary language (specify) 
9 = Unknown"
Demo,EDUC,0~25,continuous (int),0.0,25.0,a1,Years of education," 0  - 36
99 = Unknown"
Demo,MARISTAT,"[1, 2, 3, 4, 5, 6]",category (int),1.0,6.0,a1,Marital status," 1 = Married 
2 = Widowed 
3 = Divorced 
4 = Separated 
5 = Never married (or marriage was annulled) 
6 = Living as married/domestic partner
9 = Other or unknown"
Demo,HANDED,"[1, 2, 3]",category (int),1.0,3.0,a1,Is the subject left- or right-handed?," 1 = Left-handed 
2 = Right-handed 
3 = Ambidextrous 
9 = Unknown"
Demo,NACCAGE,21~100,continuous (int),21.0,100.0,a1,Subject's age at visit, 18  - 120
