Group,Variable name,Range,Type,Min,Max,Form,Short descriptor,AllowableCodes
Psychia,NITESEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Nighttime behaviors severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no nighttime behaviors reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,APPSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Appetite and eating severity," 1 = Mild (noticeable, but not a significant 
	change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no appetite or eating problems reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,NACCGDS,0~14,continuous (int),0.0,14.0,b6,Total GDS Score," 0 - 15
88 = Could not be calculated
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,ANIMALS,0~45,continuous (int),0.0,45.0,c1c2c2t,"Animals - Total number of animals named 
in 60 seconds"," 0-77	 
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,TRAILA,10~150,continuous (int),10.0,150.0,c1c2,"Trail Making Test Part A - Total number 
of seconds to complete"," 0 - 150	 
995 = Physical problem
996 = Cognitive/behavior problem
997 = Other problem
998 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psycho,TRAILB,17~300,continuous (int),17.0,300.0,c1c2,"Trail Making Test Part B - Total 
number of seconds to complete"," 0-300	 
995 = Physical problem
996 = Cognitive/behavior problem
997 = Other problem
998 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Demo,SEX,"[1, 2]",category (int),1.0,2.0,a1,Subject's sex," 1 = Male
2 = Female"
Demo,HISPANIC,"[0, 1]",category (int),0.0,1.0,a1,Hispanic/Latino ethnicity," 0 = No
1 = Yes
9 = Unknown"
Demo,RACE,"[1, 2, 3, 4, 5]",category (int),1.0,5.0,a1,Race," 1 = White 
2 = Black or African American
3 = American Indian or Alaska Native
4 = Native Hawaiian or Other Pacific Islander
5 = Asian 
50 = Other (specify)
99 = Unknown"
Demo,PRIMLANG,"[1, 2, 3, 4, 6, 8, 9]",category (int),1.0,9.0,a1,Primary language," 1 = English 
2 = Spanish 
3 = Mandarin 
4 = Cantonese 
5 = Russian 
6 = Japanese 
8 = Other primary language (specify) 
9 = Unknown"
Demo,EDUC,0~25,continuous (int),0.0,25.0,a1,Years of education," 0  - 36
99 = Unknown"
Demo,MARISTAT,"[1, 2, 3, 4, 5, 6]",category (int),1.0,6.0,a1,Marital status," 1 = Married 
2 = Widowed 
3 = Divorced 
4 = Separated 
5 = Never married (or marriage was annulled) 
6 = Living as married/domestic partner
9 = Other or unknown"
Demo,HANDED,"[1, 2, 3]",category (int),1.0,3.0,a1,Is the subject left- or right-handed?," 1 = Left-handed 
2 = Right-handed 
3 = Ambidextrous 
9 = Unknown"
Demo,NACCAGE,18~100,continuous (int),18.0,100.0,a1,Subject's age at visit, 18  - 120
Demo,NACCAPOE,"[1, 2, 3, 4, 5, 6]",category (int),1.0,6.0,gen,APOE genotype," 1 = e3,e3 
2 = e3,e4 
3 = e3,e2 
4 = e4,e4 
5 = e4,e2 
6 = e2,e2 
9 = Missing/ unknown/ not assessed"
Demo,NACCNE4S,"[0, 1, 2]",category (int),0.0,2.0,gen,Number of APOE e4 alleles," 0 = No e4 allele 
1 = 1 copy of e4 allele 
2 = 2 copies of e4 allele 
9 = Missing/ unknown/ not assessed"
Func,BILLS,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Writing checks, paying bills, or balancing a checkbook"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,TAXES,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Assembling tax records, business affairs, or other papers"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question."
Func,SHOPPING,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Shopping alone for clothes, household necessities, or groceries"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,GAMES,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Playing a game of skill such as bridge or chess, working on a hobby"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,STOVE,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Heating water, making a cup of coffee, turning off the stove"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,MEALPREP,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Preparing a balanced meal"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,EVENTS,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Keeping track of current events"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,PAYATTN,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Paying attention to and understanding a TV program, book, or magazine"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,REMDATES,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Remembering appointments, family occasions, holidays, medications"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,TRAVEL,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Traveling out of the neighborhood, driving, or arranging to take public transportation"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,NACCFAM,"[0, 1]",category (int),0.0,1.0,a3,Indicator of first-degree family member with cognitive impairment," 0 = No report of a first-degree family member with cognitive impairment
1 = Report of at least one first-degree family member with cognitive impairment
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
MedH,SMOKYRS,0~80,continuous (int),0.0,80.0,a5,Total years smoked cigarettes," 0 - 87
88 = Not applicable
99 = Unknown 
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,PACKSPER,"[0, 1, 2, 3, 4, 5]",category (int),0.0,5.0,a5,Average number of packs smoked per day," 0 = No reported cigarette use
1 = 1 cigarette to less than 1/2 pack 
2 = 1/2 pack to less than 1 pack 
3 = 1 pack to 11/2  packs 
4 = 11/2  packs to 2 packs 
5 = More than two packs
8 = Not applicable
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,CVHATT,"[0, 1, 2]",category (int),0.0,2.0,a5,Heart attack/cardiac arrest," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,CBSTROKE,"[0, 1, 2]",category (int),0.0,2.0,a5,Stroke," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,HYPERTEN,"[0, 1, 2]",category (int),0.0,2.0,a5,Hypertension," 0 = Absent	
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,ALCOHOL,"[0, 1, 2]",category (int),0.0,2.0,a5,"Alcohol abuse - clinically significant impairment occurring over a 12-month period manifested in one of the following areas: work, driving, legal, or social"," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,DEPOTHR,"[0, 1]",category (int),0.0,1.0,a5,"Depression episodes more than two 
years ago"," 0 = No
1 = Yes
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,PSYCDIS,"[0, 1, 2]",category (int),0.0,2.0,a5,Other psychiatric disorder," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Info,NACCADC,289~9661,continuous (int),289.0,9661.0,header,ADC at which subject was seen, 100 -9999
Info,MRIFIELDj,1.500~3.000,continuous (float),1.5,3.0,imaging,Magnetic field strength (T), 1.5; 3.0; 2.89362
Info,MRIMANUj,"[1, 2, 3]",category (int),1.0,3.0,imaging,Manufacturer," 1 = GE
2 = Siemens
3 = Phillips
9 = Missing / unknown"
Info,MRIMODLj,1~23,continuous (int),1.0,23.0,imaging,Manufacturer’s model name ," 1 = DISCOVERY_MR750
4 = TrioTim, Trio
5 = Eclipse_1.5T
6 = Allegra
8 = SIGNA, GENESIS_SIGNA, SIGNA_EXCITE, SIGNA_HDx, SIGNA_PET_MR, SIGNA_Premier, SIGNA_UHP, Signa_HDxt, Signa_MR360
9 = GEMINI
10 = Ingenuity
11 = Sonata
12 = Skyra
14 = Achieva, Achieva_dStream
15 = Prisma, Prisma_fit
16 = Verio
2 = Aera
3 = Avanto
7 = Biograph_mMR
13 = Espree
17 = Intera
18 = Symphony, SymphonyTim
99 = Missing / unknown"
Info,MRITHICKj,0.800~1.700,continuous (float),0.8,1.7,imaging,MRI slice thickness, 0.80 - 2.00
Info,Label,"['AD', 'MCI', 'NC']",category (str),-999.0,-999.0,,,
Info,NACCID,34~999854,continuous (int),34.0,999854.0,,,
